DATE,MIN. TEMP,MAX. TEMP,AVE.TEMP,AVE. DP,AVE.HUM,AVE. PRES,AVE. WND_GST,AVE. WND_SPD
01/01/2013,25,28.88888889,26.53333333,21.91111111,75.76,29.818,0,5.44
02/01/2013,23.88888889,32.77777778,27.5462963,21.73611111,71.25,29.83875,0,6.375
03/01/2013,25,30,27.24537037,22.80092593,77.04166667,29.82,0,6.291666667
04/01/2013,23.88888889,31.11111111,27.52314815,23.0787037,78.95833333,29.75875,0,5.75
05/01/2013,25,32.77777778,28.26388889,22.56944444,73.33333333,29.73125,0,6.208333333
06/01/2013,23.88888889,32.22222222,27.96296296,22.17592593,73.16666667,29.7775,0,6.208333333
07/01/2013,25,31.11111111,27.40740741,22.98611111,78.16666667,29.7925,0,5.25
08/01/2013,25,31.11111111,27.43961353,22.70531401,77.2173913,29.79086957,0,5.652173913
09/01/2013,25,30,27.39130435,22.31884058,74.13043478,29.76652174,0,5.47826087
10/01/2013,22.77777778,31.11111111,26.80555556,20.43981481,68.83333333,29.75625,0,6.5
11/01/2013,23.88888889,27.22222222,25.46296296,22.01388889,82.33333333,29.765,0,4.833333333
12/01/2013,23.88888889,27.22222222,25,24.31623932,96.57692308,29.73307692,0,4.653846154
13/01/2013,23.88888889,30,26.30434783,23.47826087,85.30434783,29.68666667,2.208333333,7.541666667
14/01/2013,23.88888889,27.77777778,25.90277778,21.52777778,75.65217391,29.76625,1.041666667,8.833333333
15/01/2013,23.88888889,28.88888889,26.04166667,17.59259259,59.5,29.8675,1.041666667,11.125
16/01/2013,23.88888889,27.77777778,25.50925926,19.39814815,69.04166667,29.89625,0,5.208333333
17/01/2013,22.22222222,28.88888889,25.41666667,18.44907407,66.16666667,29.90625,0,6.083333333
18/01/2013,23.88888889,28.88888889,25.78703704,18.42592593,64.625,29.925,0,7.916666667
19/01/2013,22.77777778,28.88888889,25.53240741,19.35185185,69.04166667,29.91,0,8.583333333
20/01/2013,22.77777778,30,25.60185185,18.14814815,63.875,29.93875,0,7.541666667
21/01/2013,21.11111111,27.77777778,25,20.20833333,75.375,29.91916667,0,4.666666667
22/01/2013,22.77777778,27.77777778,25.09259259,21.71296296,82.66666667,29.90375,0.75,5.625
23/01/2013,22.77777778,27.77777778,25.16203704,19.9537037,73.16666667,29.8825,0,5.708333333
24/01/2013,21.11111111,30,25.53240741,19.05092593,68.41666667,29.86,0,5.708333333
25/01/2013,22.22222222,28.88888889,25.69444444,20.81018519,74.79166667,29.83625,0,5.041666667
26/01/2013,25,28.88888889,26.76328502,21.98067633,74.69565217,29.82125,0,4.833333333
27/01/2013,22.77777778,30,26.73611111,21.57407407,73.375,29.84875,0,4.833333333
28/01/2013,25,30,26.80555556,20.83333333,69.70833333,29.87875,0,7.375
29/01/2013,22.77777778,30,26.62037037,19.72222222,66.58333333,29.91291667,0,6.75
30/01/2013,22.77777778,30,26.2037037,17.98611111,61.29166667,29.92125,2.166666667,7.708333333
31/01/2013,22.77777778,30,26.27314815,19.30555556,65.70833333,29.92625,0,5.583333333
01/02/2013,25,32.22222222,28.21759259,22.22222222,70.79166667,29.9175,0,6.666666667
02/02/2013,26.11111111,31.11111111,28.03240741,22.80092593,74.04166667,29.92125,0,8.875
03/02/2013,23.88888889,31.11111111,27.68518519,20.69444444,66.375,29.91875,0,8.458333333
04/02/2013,23.88888889,32.22222222,27.46376812,20.14492754,65.43478261,29.91086957,0,8.565217391
05/02/2013,22.77777778,32.22222222,26.89814815,20.41666667,68.25,29.89625,0,6.625
06/02/2013,22.77777778,31.11111111,26.62037037,21.34259259,72.66666667,29.84125,0,6.916666667
07/02/2013,25,32.22222222,28.24074074,21.9212963,69.125,29.78125,0,6.416666667
08/02/2013,23.88888889,32.22222222,28.03240741,21.73611111,68.70833333,30.92291667,0,5.041666667
09/02/2013,23.88888889,28.88888889,26.57777778,22.02222222,75.2,29.8492,0,4.68
10/02/2013,23.88888889,31.11111111,27.47685185,21.2037037,69.16666667,29.845,1,6.625
11/02/2013,22.22222222,31.11111111,27.33796296,20.78703704,67.91666667,29.84,0,7.125
12/02/2013,23.88888889,32.22222222,27.29468599,22.63285024,76.65217391,29.84956522,0,7.434782609
13/02/2013,23.88888889,31.11111111,27.68115942,21.88405797,70.73913043,29.84043478,0,7.913043478
14/02/2013,25,32.22222222,28.24074074,20.90277778,65.29166667,29.825,0,8.125
15/02/2013,23.88888889,31.11111111,27.03703704,22.77777778,78.91666667,29.815,0,7.041666667
16/02/2013,23.88888889,32.77777778,28.1712963,20.06944444,62.875,29.81875,0,9.5
17/02/2013,25,32.22222222,27.99516908,19.80676329,62.26086957,28.54958333,0,10.16666667
18/02/2013,22.77777778,32.77777778,28.05555556,19.69907407,62.33333333,29.785,0,7.5
19/02/2013,23.88888889,32.77777778,27.91666667,19.72222222,62.29166667,29.76,0,6.291666667
20/02/2013,26.11111111,31.11111111,28.09178744,18.81642512,58.2173913,29.75565217,0,9.565217391
